tmdb_id,title,original_title,release_date,runtime,vote_average,vote_count,popularity,overview,tagline,tmdb_genres,poster_path,backdrop_path,genre,movie_title_cfg,imdb_id
575264,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,2023-07-08,164,7.499,5056,14.9096,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",We all share the same fate.,"['Action', 'Thriller', 'Adventure']",/NNxYkU70HPurnNCSiCjYAmacwm.jpg,/628Dep6AxEtDxjZoGP78TsOxYbK.jpg,action,Mission: Impossible - Dead Reckoning,tt9603212
603692,John Wick: Chapter 4,John Wick: Chapter 4,2023-03-21,170,7.706,7844,17.6732,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","No way back, one way out.","['Action', 'Thriller', 'Crime']",/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,action,John Wick: Chapter 4,tt10366206
361743,Top Gun: Maverick,Top Gun: Maverick,2022-05-21,131,8.152,10793,30.1462,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",Feel the need... The need for speed.,"['Action', 'Drama']",/n0YuM4f5lvGAP6MAW2kBIzugXnc.jpg,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,action,Top Gun: Maverick,tt1745960
786892,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,2024-05-22,149,7.452,4799,16.7317,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",Fury is born.,"['Action', 'Science Fiction', 'Adventure']",/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,/raph7qjAGTMXaIjVxt6ZDSXRzUr.jpg,action,Mad Max: Furiosa,tt12037194
313369,La La Land,La La Land,2016-12-01,129,7.898,18011,16.678,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Here's to the fools who dream.,"['Comedy', 'Drama', 'Romance']",/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,/nlPCdZlHtRNcF6C9hzUH4ebmV1w.jpg,romance,La La Land,tt3783958
666277,Past Lives,Past Lives,2023-06-02,106,7.711,2277,15.5074,"After decades apart, childhood friends Nora and Hae Sung are reunited in New York for one fateful weekend as they confront notions of destiny, love, and the choices that make a life.",,"['Drama', 'Romance']",/k3waqVXSnvCZWfJYNtdamTgTtTA.jpg,/7HR38hMBl23lf38MAN63y4pKsHz.jpg,romance,Past Lives,tt13238346
932420,Code 8 Part II,Code 8 Part II,2024-02-27,101,6.347,691,4.3097,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",Power corrupts.,"['Science Fiction', 'Action', 'Crime']",/h89INyaoH16CdlT7q7BtKikIFRy.jpg,/ekRp1sEA8pnuzVHQkUESTgNSKdW.jpg,romance,Anyone But You,tt14861866
11036,The Notebook,The Notebook,2004-06-25,123,7.888,12459,16.3393,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",Behind every great love is a great story.,"['Romance', 'Drama']",/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,/zdXnJqBaGFVtLoPNuMeKfEYUViZ.jpg,romance,The Notebook,tt0332280
493922,Hereditary,Hereditary,2018-06-07,128,7.293,8500,11.5986,"Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",Every family tree hides a secret.,"['Horror', 'Mystery', 'Thriller']",/hjlZSXM86wJrfCv5VKfR5DI2VeU.jpg,/gJbTXKNTL6O7r7PzF6ZRkJGBlPp.jpg,horror,Hereditary,tt7784604
419430,Get Out,Get Out,2017-02-24,104,7.622,18772,14.7707,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Just because you're invited, doesn't mean you're welcome.","['Mystery', 'Thriller', 'Horror']",/mE24wUCfjK8AoBBjaMjho7Rczr7.jpg,/o8dPH0ZSIyyViP6rjRX1djwCUwI.jpg,horror,Get Out,tt5052448
882598,Smile,Smile,2022-09-23,115,6.664,4003,8.2409,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.","Once you see it, it's too late.","['Horror', 'Mystery']",/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,/kMZIMqEXO5MFd5Y1Ha2jZZF4pvF.jpg,horror,Smile,tt15474916
1008042,Talk to Me,Talk to Me,2023-07-26,95,7.136,3674,8.6958,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",You call. They'll answer.,"['Horror', 'Fantasy']",/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,/46Os8U0DEPmI0OnvKDxucl6SLVZ.jpg,horror,Talk to Me,tt10638522
